Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,A_site_Molar_volume,A_site_Ionization_energy,A_site_Electron_affinity,A_site_Row,A_site_Atomic_mass,A_site_Number,A_site_Ionic_radii,A_site_Bond_length,A_site_Atomic_radius,A_site_Van_der_Waals_radius,A_site_X,B_site_Molar_volume,B_site_Ionization_energy,B_site_Electron_affinity,B_site_Row,B_site_Atomic_mass,B_site_Number,B_site_Ionic_radii,B_site_Bond_length,B_site_Atomic_radius,B_site_Van_der_Waals_radius,B_site_X,Entropy,Tolerance_factor,Octahedral_factor
0.9396673,0.000203339,0.060104888,2.45E-05,0.50496435,0.49214864,0.00275769,1.32E-05,0.000116073,847.6217303,170.2292638,3.575875737,1.888370213,-0.041356219,0.949231421,10.35004317,4.824868686,0.324488115,0.611307519,0.391356723,0.516652412,0.369870986,0.007338083,0.007126872,-0.000469202,0.003931083,0.057808344,0.025942635,0.000960547,0.002209325,0.001353718,0.001980522,0.001480961,0.880653468,0.888530806,0.000762339
0.9131549,0.001406827,0.08542249,1.58E-05,0.48506117,0.51184165,0.002559908,9.31E-06,0.000527878,845.3208489,238.1181896,3.806621919,1.928071095,-0.043470388,0.975736337,10.78602171,5.014954127,0.330935552,0.620690287,0.404430391,0.530425915,0.374668487,0.00868017,0.007565003,-0.00041104,0.004484481,0.078568831,0.034125758,0.001026652,0.002299882,0.00147217,0.002148579,0.001555493,0.923428162,0.892099557,0.000814803
0.9037885,0.005655208,0.09053769,1.86E-05,0.48923454,0.5042894,0.00618697,6.50E-06,0.000282623,838.6663493,175.0340797,3.834710884,1.928045435,-0.042531983,0.980642299,10.90215033,5.063859208,0.331657346,0.622408463,0.405617827,0.532546837,0.375017427,0.016454595,0.015988733,-0.001054694,0.008825369,0.130312737,0.058427678,0.002155568,0.004956889,0.003036632,0.004442676,0.003321952,0.946522094,0.891706008,0.001710768
0.9406873,0.000221426,0.05906858,2.27E-05,0.48432767,0.49002078,0.025548996,1.50E-05,8.75E-05,837.8524155,226.6263659,3.504729765,1.847597084,-0.041536043,0.925701657,10.06744136,4.695129418,0.316767947,0.59589989,0.382816971,0.50420012,0.360982415,0.063057055,0.063542923,-0.004421131,0.034265278,0.473530662,0.215207505,0.008548916,0.019818551,0.011975813,0.017534657,0.013244873,0.962697052,0.878912349,0.006784854
0.9413485,0.000210953,0.058416314,2.43E-05,0.505914,0.4888651,0.005074956,8.98E-06,0.000136945,844.6056777,186.0459332,3.552580601,1.881310268,-0.041015492,0.945607506,10.30446564,4.804198723,0.323371729,0.609459383,0.389613399,0.514681973,0.368760157,0.01308912,0.012907215,-0.000870233,0.007055464,0.101356877,0.045697708,0.001738505,0.00401141,0.002443707,0.003576357,0.002685384,0.888895043,0.887357311,0.001379766
0.92534155,0.000631876,0.07400877,1.79E-05,0.48171547,0.5139673,0.003273459,9.10E-06,0.001034785,844.734835,199.4249856,3.70833019,1.910176428,-0.043905323,0.959719782,10.5089036,4.894509671,0.327099343,0.613617007,0.39835058,0.522476549,0.371366298,0.012698329,0.010485951,-0.000504664,0.006449345,0.121788721,0.05223497,0.001428341,0.003154031,0.002066954,0.003012816,0.002143727,0.912771399,0.88966505,0.001133604
0.91271037,0.000659058,0.086613715,1.68E-05,0.48050556,0.51572764,0.002991285,8.92E-06,0.000766564,846.3872605,280.1072286,3.818219119,1.929420341,-0.043948943,0.975585261,10.78122201,5.012877928,0.330888424,0.620162992,0.404889241,0.530445642,0.374470407,0.010804555,0.009176126,-0.0004717,0.00553638,0.100657771,0.04344388,0.001247509,0.002775679,0.001796601,0.00262049,0.001881631,0.92872928,0.891916919,0.000990086
0.8896957,0.010273739,0.10001369,1.69E-05,0.4825045,0.51424557,0.002668751,9.36E-06,0.000571754,838.0135285,263.0529038,3.932048108,1.94907736,-0.043581153,0.993222658,11.08966426,5.146725853,0.335045188,0.627674484,0.411733099,0.539200596,0.377937125,0.009143645,0.007934654,-0.000427294,0.004717444,0.083174096,0.036086502,0.001077134,0.002410264,0.00154566,0.002255609,0.001630765,0.944288356,0.894368186,0.000854869
0.8854258,0.007202745,0.10735535,1.61E-05,0.50601155,0.48497167,0.003894057,2.79E-05,0.005094832,842.0146114,236.0351929,3.954407465,1.943697154,-0.039967875,1.003950635,11.35390354,5.257935087,0.336606687,0.632809329,0.412653359,0.543509369,0.379143601,0.032495523,0.021302011,-0.000368533,0.015428186,0.375283553,0.155098015,0.002953337,0.006067047,0.004463955,0.006468813,0.004232045,0.98419938,0.893913799,0.002343918
0.8874235,0.0014306,0.111130945,1.49E-05,0.5634723,0.42217007,0.002446194,8.69E-05,0.011824539,840.7399318,215.6758745,3.91947539,1.927108927,-0.032239351,1.019028459,11.74261592,5.421426462,0.338774299,0.642369114,0.41110127,0.549007826,0.381594864,0.059373361,0.033155036,0.000290413,0.027055553,0.75096038,0.305332946,0.004663585,0.008996089,0.007295816,0.010525758,0.006426373,0.999606041,0.893916897,0.003701258
